feature,coefficient,selected,split_id,target_column,alpha,l1_ratio,inner_cv_daily_cs_ic
z_market_beta_60d,-0.0020248099494527202,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_idio_vol_60d,-0.00026299289516735537,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Federal_Funds_Rate,0.0008402434217887153,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Treasury_10Y,-0.0013952854976784273,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Yield_Spread_10Y2Y,0.007158219164248845,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Breakeven_Inflation_10Y,-0.008119503783778636,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_CPI,-0.0009327651129809779,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Unemployment_Rate,0.0035376448989641006,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Financial_Conditions_Index,-0.008036376667821947,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_VIX,-0.0032743113466535494,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_rate_sensitivity_beta,-0.002356742577329868,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLC,-0.0003208142420041978,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLE,0.00042187030534717026,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLF,-4.237577773277345e-05,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLI,0.002940648178234859,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLK,0.00034668990049830045,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLP,0.003025682447629785,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLRE,0.0009407791910219886,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLU,-0.0005077046664733829,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLV,0.004300152467315326,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLY,0.00025061200140723787,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_5d,1.7861481089593812e-05,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_5d_rel_spy,1.5045266129482574e-08,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_5d_excess_rf,6.206956481177239e-12,False,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_20d,0.0005412201462748986,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_20d_rel_spy,4.586319562663933e-07,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_20d_excess_rf,1.9670239517484478e-10,False,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_60d_rel_spy,-0.0015049417655061948,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_price_to_MA20,-0.0016247318758417202,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_price_to_MA50,0.0020762206864742548,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_MA20_minus_MA50,-0.0011170194194522298,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_volatility_20d,0.0007024982810650846,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_max_drawdown_60d,0.0011732347439680963,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_ATR_14,-0.010495137208088631,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_volume_change,-0.0002897104629410165,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_relative_volume,0.00017981679790624844,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_RSI_14,0.0002594135673343967,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_market_beta_60d,-0.0018802962572490238,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_idio_vol_60d,5.114462517191162e-05,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_Federal_Funds_Rate,-0.0005555632741506439,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_Treasury_10Y,-0.001863755797583791,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_Yield_Spread_10Y2Y,0.0029500741868335486,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_Breakeven_Inflation_10Y,-0.0031298062507590964,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_CPI,-0.00022846379707299055,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_Unemployment_Rate,0.0032299714253900456,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_Financial_Conditions_Index,-0.0052351705718144135,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_VIX,-0.0005760481385672933,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_rate_sensitivity_beta,-0.0015041858216121307,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLC,-0.0005525897975002064,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLE,0.003384628873849836,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLF,-0.00037021276143379197,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLI,0.004730542764981957,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLK,-0.0001412100922098625,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLP,0.00527180604497377,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLRE,0.0027958222145457565,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLU,4.371752719481066e-05,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLV,0.007296085535901509,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
ETF_XLY,0.00023721226239266564,True,3,target_5d_forward_return_raw,1e-05,0.5,0.030139569201481153
z_return_5d,-0.00013446119559919458,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_5d_rel_spy,-2.308594782001038e-07,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_5d_excess_rf,-1.9338884596800766e-10,False,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_20d,0.0001345120157419956,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_20d_rel_spy,1.6855063277765438e-07,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_20d_excess_rf,1.0645272046819924e-10,False,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_60d_rel_spy,-0.0015676773908739903,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_price_to_MA20,-0.0016923621141186759,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_price_to_MA50,0.002511426853939757,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_MA20_minus_MA50,-0.0011584377650921533,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
