feature,gain_importance,split_id,target_column
z_Financial_Conditions_Index,15.760992476018146,3,target_5d_forward_return_raw
z_VIX,13.2903990841005,3,target_5d_forward_return_raw
z_rate_sensitivity_beta,1.9384050632361323,3,target_5d_forward_return_raw
ETF,0.785652554128319,3,target_5d_forward_return_raw
z_return_5d,1.084265595767647,4,target_5d_forward_return_raw
z_return_5d_rel_spy,0.1873147590085864,4,target_5d_forward_return_raw
z_return_5d_excess_rf,0.018267599865794182,4,target_5d_forward_return_raw
z_return_20d,0.852570888120681,4,target_5d_forward_return_raw
z_return_20d_rel_spy,0.2853454374708235,4,target_5d_forward_return_raw
z_return_20d_excess_rf,0.06909880042076111,4,target_5d_forward_return_raw
z_return_60d_rel_spy,1.6664774143137038,4,target_5d_forward_return_raw
z_price_to_MA20,0.7253349609673023,4,target_5d_forward_return_raw
z_price_to_MA50,0.8886955296620727,4,target_5d_forward_return_raw
z_MA20_minus_MA50,1.4806354604661465,4,target_5d_forward_return_raw
z_volatility_20d,1.3525825757533312,4,target_5d_forward_return_raw
z_max_drawdown_60d,2.8025620356202126,4,target_5d_forward_return_raw
z_ATR_14,1.5638949472922832,4,target_5d_forward_return_raw
z_volume_change,0.07069548033177853,4,target_5d_forward_return_raw
z_relative_volume,0.2932481407187879,4,target_5d_forward_return_raw
z_RSI_14,0.5676626791246235,4,target_5d_forward_return_raw
z_market_beta_60d,1.9892776729539037,4,target_5d_forward_return_raw
z_idio_vol_60d,3.0808647675439715,4,target_5d_forward_return_raw
z_Federal_Funds_Rate,13.424654964823276,4,target_5d_forward_return_raw
z_Treasury_10Y,11.685386847238988,4,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,10.995598370209336,4,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,11.258976500947028,4,target_5d_forward_return_raw
z_CPI,13.486696999985725,4,target_5d_forward_return_raw
z_Unemployment_Rate,29.20212960173376,4,target_5d_forward_return_raw
z_Financial_Conditions_Index,13.176256170030683,4,target_5d_forward_return_raw
z_VIX,10.208407913334668,4,target_5d_forward_return_raw
z_rate_sensitivity_beta,1.9576521832495928,4,target_5d_forward_return_raw
ETF,0.8006221177056432,4,target_5d_forward_return_raw
z_return_5d,1.0032868832349777,5,target_5d_forward_return_raw
z_return_5d_rel_spy,0.13961521070450544,5,target_5d_forward_return_raw
z_return_5d_excess_rf,0.05244516022503376,5,target_5d_forward_return_raw
z_return_20d,0.8330640573985875,5,target_5d_forward_return_raw
z_return_20d_rel_spy,0.30637068301439285,5,target_5d_forward_return_raw
z_return_20d_excess_rf,0.018096599727869034,5,target_5d_forward_return_raw
z_return_60d_rel_spy,1.4026669547893107,5,target_5d_forward_return_raw
z_price_to_MA20,1.2006349074654281,5,target_5d_forward_return_raw
z_price_to_MA50,0.8872418743558228,5,target_5d_forward_return_raw
z_MA20_minus_MA50,1.3487046519294381,5,target_5d_forward_return_raw
z_volatility_20d,1.4851058679632843,5,target_5d_forward_return_raw
z_max_drawdown_60d,3.59085006499663,5,target_5d_forward_return_raw
z_ATR_14,1.600831985939294,5,target_5d_forward_return_raw
z_volume_change,0.05697325058281422,5,target_5d_forward_return_raw
z_relative_volume,0.4106062790378928,5,target_5d_forward_return_raw
z_RSI_14,0.7520952606573701,5,target_5d_forward_return_raw
z_market_beta_60d,1.467342910822481,5,target_5d_forward_return_raw
z_idio_vol_60d,2.8760403390042484,5,target_5d_forward_return_raw
z_Federal_Funds_Rate,13.941428792662919,5,target_5d_forward_return_raw
z_Treasury_10Y,14.428725394885987,5,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,10.90115410508588,5,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,10.427842576056719,5,target_5d_forward_return_raw
z_CPI,13.093063585460186,5,target_5d_forward_return_raw
z_Unemployment_Rate,23.592736601363868,5,target_5d_forward_return_raw
z_Financial_Conditions_Index,17.307449968531728,5,target_5d_forward_return_raw
z_VIX,12.81006235210225,5,target_5d_forward_return_raw
z_rate_sensitivity_beta,1.657541730441153,5,target_5d_forward_return_raw
ETF,0.8016200987622142,5,target_5d_forward_return_raw
z_return_5d,0.16498674440663308,1,target_5d_forward_return_excess_spy
