target_column,model,structure,split_id,n_obs,rmse,mae,r_squared,pearson_correlation,mean_time_series_ic,n_time_series_ic_etfs,mean_daily_cross_sectional_ic,daily_cs_ic_hac_t_stat,positive_daily_ic_rate,valid_daily_ic_dates,total_test_dates,hit_rate_at_1,hit_rate_at_1_random_baseline,hit_rate_at_1_vs_random,hit_rate_at_3,hit_rate_at_3_random_baseline,hit_rate_at_3_vs_random,overall_hit_rate_skill_vs_majority,overall_hit_rate,directional_coverage,actual_positive_rate,predicted_positive_rate,majority_sign_baseline
target_5d_forward_return_excess_spy,elastic_net,pooled,1,3674,0.024952144814596913,0.017171072176024933,-0.010389571523162333,-0.06180801259101804,0.013483041617816842,11,-0.03304300489929233,-0.8244861870359844,0.45209580838323354,334,334,0.09281437125748503,0.09090909090909091,0.0019052803483941144,0.25648702594810374,0.2727272727272727,-0.016240246779168965,-0.040010887316276555,0.4812193794229722,1.0,0.47876973326075123,0.45264017419706043,0.5212302667392488
target_5d_forward_return_excess_spy,elastic_net,pooled,2,3674,0.021385257723217477,0.015334882080240477,-0.01774070477688161,0.017977550998232728,0.07864672576443066,11,0.035584904614137325,1.2010842004338997,0.5748502994011976,334,334,0.09281437125748503,0.09090909090909091,0.0019052803483941144,0.3063872255489022,0.2727272727272727,0.03365995282162948,0.013609145345672369,0.5179640718562875,1.0,0.5043549265106151,0.5939031028851388,0.5043549265106151
target_5d_forward_return_excess_spy,elastic_net,pooled,3,3674,0.019940871083648944,0.014774785472117044,-0.018495008273645475,0.08547519890034316,0.12601886329654674,11,0.08685356559608057,2.4502378705668337,0.5808383233532934,334,334,0.07784431137724551,0.09090909090909091,-0.0130647795318454,0.30638722554890213,0.2727272727272727,0.033659952821629424,-0.005715841045182413,0.502449646162221,1.0,0.4918345127925966,0.8478497550353837,0.5081654872074034
target_5d_forward_return_excess_spy,elastic_net,pooled,4,3674,0.018820052712096733,0.014501991153749396,-0.04545192734839243,0.033170967897302284,0.09861210506487117,11,0.029395753946652146,0.7457091641825273,0.5508982035928144,334,334,0.1377245508982036,0.09090909090909091,0.046815459989112684,0.2954091816367265,0.2727272727272727,0.02268190890945382,-0.009526401741970614,0.5087098530212303,1.0,0.4817637452367991,0.5119760479041916,0.5182362547632009
target_5d_forward_return_excess_spy,elastic_net,pooled,5,3674,0.022623059471555823,0.016815578569532145,-0.0007207727255440499,-0.01814759197085096,0.0394863798385114,11,-0.004491017964071854,-0.16724099866066403,0.47604790419161674,334,334,0.041916167664670656,0.09090909090909091,-0.048992923244420256,0.23952095808383234,0.2727272727272727,-0.03320631464344037,0.0,0.5321175830157866,1.0,0.4678824169842134,0.0,0.5321175830157866
target_5d_forward_return_excess_spy,elastic_net,specialized,1,3674,0.027458321632528353,0.018887254584603753,-0.22354815421494867,0.0028720991487955665,0.05596529995493264,11,-0.011077844311377247,-0.3421092234306953,0.5,334,334,0.0658682634730539,0.09090909090909091,-0.025040827436037014,0.23852295409181634,0.2727272727272727,-0.034204318635456366,-0.03456722917800764,0.48666303756124113,1.0,0.47876973326075123,0.39330430048992926,0.5212302667392488
target_5d_forward_return_excess_spy,elastic_net,specialized,2,3674,0.02280800496279191,0.01648315512943722,-0.1576646316830559,0.10968636878372848,0.0950342375134582,11,0.06898708543617861,1.9335318449814003,0.562874251497006,334,334,0.2844311377245509,0.09090909090909091,0.19352204681546,0.34031936127744505,0.2727272727272727,0.06759208855017235,0.0029940119760479833,0.5073489384866631,1.0,0.5043549265106151,0.4591725639629831,0.5043549265106151
target_5d_forward_return_excess_spy,elastic_net,specialized,3,3674,0.023920347522964333,0.017741213133342735,-0.4655668164079749,-0.009566046933192561,0.059662182514984376,9,-0.009934676102340776,-0.21309110917997798,0.5,334,334,0.17964071856287425,0.09090909090909091,0.08873162765378334,0.3263473053892216,0.2727272727272727,0.05362003266194887,-0.0019052803483941005,0.5062602068590093,1.0,0.4918345127925966,0.4074578116494284,0.5081654872074034
target_5d_forward_return_excess_spy,elastic_net,specialized,4,3674,0.018690876359120746,0.014274056220787177,-0.031149714516475413,0.09257393271129451,0.1134912616367617,11,0.10821992378878605,3.3366199768530103,0.6287425149700598,334,334,0.11976047904191617,0.09090909090909091,0.028851388132825256,0.3233532934131736,0.2727272727272727,0.050626020685900885,0.014425694066412587,0.5326619488296135,1.0,0.4817637452367991,0.3704409363091998,0.5182362547632009
target_5d_forward_return_excess_spy,elastic_net,specialized,5,3674,0.023018776879886387,0.017323103533923127,-0.0360357154369475,0.05403583087702341,0.1044801299158257,11,0.030538922155688625,0.9069901027146487,0.5149700598802395,334,334,0.15868263473053892,0.09090909090909091,0.06777354382144801,0.311377245508982,0.2727272727272727,0.038649972781709285,-0.03919433859553617,0.49292324442025043,1.0,0.4678824169842134,0.6314643440391944,0.5321175830157866
target_5d_forward_return_excess_spy,historical_mean,baseline,1,3674,0.02491368848367213,0.017143899593813336,-0.007277539783232978,-0.012442919796789954,,0,-0.023761567773543824,-0.5075039097210398,0.47305389221556887,334,334,0.11676646706586827,0.09090909090909091,0.025857376156777356,0.24451097804391214,0.2727272727272727,-0.028216294683360565,-0.021774632553075657,0.4994556341861731,1.0,0.47876973326075123,0.45454545454545453,0.5212302667392488
target_5d_forward_return_excess_spy,historical_mean,baseline,2,3674,0.02142933487863469,0.015269626198064386,-0.0219403590772429,-0.09660011692590395,,0,-0.05702374664146591,-1.344068807116245,0.44610778443113774,334,334,0.09281437125748503,0.09090909090909091,0.0019052803483941144,0.25249500998003993,0.2727272727272727,-0.020232262747232777,-0.00653238976592263,0.49782253674469246,1.0,0.5043549265106151,0.18181818181818182,0.5043549265106151
target_5d_forward_return_excess_spy,historical_mean,baseline,3,3674,0.019768552750628773,0.014598080336874862,-0.0009684870310031624,0.015445100159108636,,0,-0.011839956450734896,-0.42896944200277876,0.46107784431137727,334,334,0.1317365269461078,0.09090909090909091,0.040827436037016884,0.33632734530938124,0.2727272727272727,0.06360007258210854,0.004354926510615087,0.5125204137180185,1.0,0.4918345127925966,0.36363636363636365,0.5081654872074034
target_5d_forward_return_excess_spy,historical_mean,baseline,4,3674,0.01844569173764891,0.014186889255305302,-0.004274162692600836,-0.019450217874618047,,0,-0.044229722373434956,-1.281086391961653,0.47305389221556887,334,334,0.218562874251497,0.09090909090909091,0.1276537833424061,0.28443113772455086,0.2727272727272727,0.011703864997278157,-0.01741970604246057,0.5008165487207403,1.0,0.4817637452367991,0.18181818181818182,0.5182362547632009
target_5d_forward_return_excess_spy,historical_mean,baseline,5,3674,0.02258598967641434,0.016770043589741393,0.002556071522552994,0.06655824348210113,,0,0.0507348938486663,1.1079002855250941,0.5568862275449101,334,334,0.24251497005988024,0.09090909090909091,0.15160587915078932,0.2844311377245509,0.2727272727272727,0.011703864997278213,0.01850843767011434,0.5506260206859009,1.0,0.4678824169842134,0.09090909090909091,0.5321175830157866
target_5d_forward_return_excess_spy,lightgbm,pooled,1,3674,0.026824834357226015,0.01889153032464887,-0.16774277345656063,-0.05228098671124624,0.025171279063494634,11,-0.043467610234077296,-1.036670721355516,0.45808383233532934,334,334,0.08982035928143713,0.09090909090909091,-0.0010887316276537856,0.25848303393213573,0.2727272727272727,-0.014244238795136976,-0.04164398475775721,0.47958628198149156,1.0,0.47876973326075123,0.3671747414262384,0.5212302667392488
target_5d_forward_return_excess_spy,lightgbm,pooled,2,3674,0.02249822254045688,0.016147206046886166,-0.12643097441389783,0.09797301436187651,0.0574786181832986,11,0.09681819113243254,2.7919978875213847,0.6077844311377245,334,334,0.26047904191616766,0.09090909090909091,0.16956995100707675,0.37824351297405184,0.2727272727272727,0.10551624024677914,0.010887316276537828,0.5152422427871529,1.0,0.5043549265106151,0.6352749047359826,0.5043549265106151
target_5d_forward_return_excess_spy,lightgbm,pooled,3,3674,0.021368378212899077,0.0158723697972315,-0.16953649151282524,-0.00686307529082029,-0.009919022066556892,11,-0.042406096897114866,-1.2297065565296463,0.4431137724550898,334,334,0.16167664670658682,0.09090909090909091,0.07076755579749591,0.2834331337325349,0.2727272727272727,0.010705861005262218,-0.03375068045726731,0.4744148067501361,1.0,0.4918345127925966,0.5563418617310832,0.5081654872074034
target_5d_forward_return_excess_spy,lightgbm,pooled,4,3674,0.018948166022130713,0.014516362747193484,-0.05973373406952298,0.009166879450062353,0.05959796961445507,11,0.03342406096897115,1.0010412873665182,0.5329341317365269,334,334,0.15568862275449102,0.09090909090909091,0.06477953184540011,0.3053892215568862,0.2727272727272727,0.032661948829613485,-0.011159499183451271,0.5070767555797496,1.0,0.4817637452367991,0.38513881328252586,0.5182362547632009
target_5d_forward_return_excess_spy,lightgbm,pooled,5,3674,0.022761175925003145,0.0169184682554895,-0.012977109382318552,0.06513049646071499,0.0445153885928813,11,0.002640174197060424,0.09484749700678911,0.5329341317365269,334,334,0.10778443113772455,0.09090909090909091,0.016875340228633642,0.2944111776447106,0.2727272727272727,0.02168390491743788,-0.010615133369624385,0.5215024496461622,1.0,0.4678824169842134,0.36554164398475775,0.5321175830157866
target_5d_forward_return_excess_spy,lightgbm,specialized,1,3674,0.027278258216367084,0.0195936140791294,-0.20755344925573582,-0.025059321689102583,0.048516292772749756,11,-0.014180729450190529,-0.38389427167145107,0.4940119760479042,334,334,0.09580838323353294,0.09090909090909091,0.004899292324442028,0.2684630738522954,0.2727272727272727,-0.00426419887497731,-0.037561241154055514,0.48366902558519326,1.0,0.47876973326075123,0.40827436037016873,0.5212302667392488
target_5d_forward_return_excess_spy,lightgbm,specialized,2,3674,0.025773050936938997,0.019043111817428977,-0.4782225794876238,0.062391454004372425,0.08903555587521646,11,0.016629879040898847,0.4553130107844135,0.5059880239520959,334,334,0.17365269461077845,0.09090909090909091,0.08274360370168754,0.31037924151696605,0.2727272727272727,0.037651968789693346,0.003538377789874869,0.50789330430049,1.0,0.5043549265106151,0.5190528034839412,0.5043549265106151
target_5d_forward_return_excess_spy,lightgbm,specialized,3,3674,0.02528085862900453,0.019706034087456827,-0.6370211608256737,-0.024901901696838646,0.009648018495994186,11,-0.037071311921611325,-0.9044392047600774,0.46407185628742514,334,334,0.1317365269461078,0.09090909090909091,0.040827436037016884,0.2714570858283433,0.2727272727272727,-0.0012701868989293819,-0.014697876973326085,0.4934676102340773,1.0,0.4918345127925966,0.48884050081654873,0.5081654872074034
target_5d_forward_return_excess_spy,lightgbm,specialized,4,3674,0.021004482582369918,0.015999229596328227,-0.30222602987188085,0.015263731051241299,0.08290427103547132,11,0.018590092542188345,0.663930980536786,0.49700598802395207,334,334,0.1437125748502994,0.09090909090909091,0.052803483941208484,0.29141716566866266,0.2727272727272727,0.01868989294138995,-0.010887316276537828,0.5073489384866631,1.0,0.4817637452367991,0.4980947196516059,0.5182362547632009
target_5d_forward_return_excess_spy,lightgbm,specialized,5,3674,0.024630226245684273,0.01865007761523038,-0.186170292012235,0.06874289658360837,0.0858373611792148,11,0.02825258573761567,0.8025892355356343,0.5269461077844312,334,334,0.11676646706586827,0.09090909090909091,0.025857376156777356,0.3083832335329341,0.2727272727272727,0.03565596080566141,-0.03565596080566141,0.4964616222101252,1.0,0.4678824169842134,0.560424605334785,0.5321175830157866
target_5d_forward_return_excess_spy,zero_return,baseline,1,3674,0.024837519752041678,0.017081251248933307,-0.0011278466305084667,,,0,,,,0,334,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.47876973326075123,,0.5212302667392488
target_5d_forward_return_excess_spy,zero_return,baseline,2,3674,0.021216033558782186,0.015195164676596606,-0.001697419387390653,,,0,,,,0,334,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.5043549265106151,,0.5043549265106151
target_5d_forward_return_excess_spy,zero_return,baseline,3,3674,0.01977076487799676,0.01459372760769993,-0.001192518977342738,,,0,,,,0,334,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.4918345127925966,,0.5081654872074034
target_5d_forward_return_excess_spy,zero_return,baseline,4,3674,0.018426979010111613,0.014169168008153876,-0.0022375704452384237,,,0,,,,0,334,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.4817637452367991,,0.5182362547632009
target_5d_forward_return_excess_spy,zero_return,baseline,5,3674,0.022632423869396193,0.016834124895599083,-0.0015494039689400996,,,0,,,,0,334,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.4678824169842134,,0.5321175830157866
target_5d_forward_return_raw,elastic_net,pooled,1,3674,0.04515629524341145,0.02912011968290851,0.006023764782407737,0.1094097550099804,0.14793629348480528,11,-0.03304300489929233,-0.8244861870359844,0.45209580838323354,334,334,0.09281437125748503,0.09090909090909091,0.0019052803483941144,0.25648702594810374,0.2727272727272727,-0.016240246779168965,-0.012248230811105154,0.5767555797495917,1.0,0.5890038105606968,0.9398475775721284,0.5890038105606968
target_5d_forward_return_raw,elastic_net,pooled,2,3674,0.033784707941018496,0.02544058920160872,-0.2505392915224074,0.14426092615856123,0.14322722397783058,11,0.03539437657929791,1.1952769983990408,0.5748502994011976,334,334,0.09281437125748503,0.09090909090909091,0.0019052803483941144,0.3063872255489022,0.2727272727272727,0.03365995282162948,-0.06287425149700604,0.48475775721284703,1.0,0.5476320087098531,0.11077844311377245,0.5476320087098531
target_5d_forward_return_raw,elastic_net,pooled,3,3674,0.0326844238644274,0.025643657613381176,-0.24395475435009217,0.0007064525761871069,0.009394771708201572,11,0.08685356559608057,2.4502378705668337,0.5808383233532934,334,334,0.07784431137724551,0.09090909090909091,-0.0130647795318454,0.30638722554890213,0.2727272727272727,0.033659952821629424,-0.040010887316276555,0.47876973326075123,1.0,0.5187806205770278,0.0,0.5187806205770278
target_5d_forward_return_raw,elastic_net,pooled,4,3674,0.022932908977862956,0.01757793624295112,-0.05093474650551011,-0.006877959397650487,0.020894493417731943,11,0.029395753946652146,0.7457091641825273,0.5508982035928144,334,334,0.1377245508982036,0.09090909090909091,0.046815459989112684,0.2954091816367265,0.2727272727272727,0.02268190890945382,-0.04491017964071853,0.562874251497006,1.0,0.6077844311377245,0.7324442025040827,0.6077844311377245
target_5d_forward_return_raw,elastic_net,pooled,5,3674,0.02643984001630827,0.019414123336844783,-0.0016694359345352794,0.0039602742630975764,0.007160815229197226,11,-0.004491017964071854,-0.16724099866066403,0.47604790419161674,334,334,0.041916167664670656,0.09090909090909091,-0.048992923244420256,0.23952095808383234,0.2727272727272727,-0.03320631464344037,0.0,0.5655960805661404,1.0,0.5655960805661404,1.0,0.5655960805661404
